"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 31, 2011","1,352.75","1,350.13","1,352.75","1,346.75","-","0.48%"
"Aug 01, 2011","1,358.63","1,352.75","1,365","1,350.75","-","0.43%"
"Aug 02, 2011","1,368.5","1,358","1,375","1,342.5","-","0.73%"
"Aug 03, 2011","1,360.63","1,368.63","1,371.5","1,354.88","-","-0.58%"
"Aug 04, 2011","1,331.75","1,361.63","1,362","1,325.88","-","-2.12%"
"Aug 05, 2011","1,325.63","1,331.63","1,336.5","1,313.63","-","-0.46%"
"Aug 07, 2011","1,318.88","1,312.5","1,321.75","1,308.63","-","-0.51%"
"Aug 08, 2011","1,298.13","1,318","1,321.88","1,297.38","-","-1.57%"
"Aug 09, 2011","1,306.38","1,298.38","1,314.88","1,276.75","-","0.64%"
"Aug 10, 2011","1,294.5","1,306.25","1,311.5","1,288.5","-","-0.91%"
"Aug 11, 2011","1,333.38","1,293.75","1,344.5","1,293.13","-","3.00%"
"Aug 12, 2011","1,326.75","1,332.75","1,336.88","1,320","-","-0.50%"
"Aug 14, 2011","1,334.75","1,333","1,336.88","1,331.75","-","0.60%"
"Aug 15, 2011","1,342.5","1,336.38","1,344.75","1,335.5","-","0.58%"
"Aug 16, 2011","1,342.63","1,341.88","1,344.88","1,333.5","-","0.01%"
"Aug 17, 2011","1,358.5","1,341.25","1,360.88","1,337.75","-","1.18%"
"Aug 18, 2011","1,350.25","1,357","1,357.38","1,336.25","-","-0.61%"
"Aug 19, 2011","1,358.25","1,349.13","1,365.5","1,340.13","-","0.59%"
"Aug 21, 2011","1,365.75","1,366.75","1,370.5","1,365","-","0.55%"
"Aug 22, 2011","1,380.13","1,366","1,380.5","1,362.13","-","1.05%"
"Aug 23, 2011","1,389.25","1,380.25","1,391.75","1,377.25","-","0.66%"
"Aug 24, 2011","1,383.13","1,388.38","1,396","1,381.75","-","-0.44%"
"Aug 25, 2011","1,384.25","1,383.38","1,391.13","1,378","-","0.08%"
"Aug 26, 2011","1,416.13","1,386.13","1,416.38","1,379.25","-","2.30%"
"Aug 28, 2011","1,422.5","1,411.75","1,422.5","1,411.5","-","0.45%"
"Aug 29, 2011","1,445.13","1,420.75","1,452.38","1,416","-","1.59%"
"Aug 30, 2011","1,449.88","1,445","1,458.38","1,438","-","0.33%"
"Aug 31, 2011","1,455.13","1,449.63","1,464.88","1,449.63","-","0.36%"
"Sep 01, 2011","1,438.63","1,454.38","1,456.75","1,432.13","-","-1.13%"
"Sep 02, 2011","1,446.38","1,438.75","1,451.88","1,435.25","-","0.54%"
"Sep 05, 2011","1,428.63","1,444.88","1,444.88","1,427.88","-","-1.23%"
"Sep 06, 2011","1,423.75","1,429.13","1,434.13","1,408.38","-","-0.34%"
"Sep 07, 2011","1,420.38","1,423.63","1,434.13","1,412.63","-","-0.24%"
"Sep 08, 2011","1,416.63","1,419.88","1,425.38","1,411.38","-","-0.26%"
"Sep 09, 2011","1,425.63","1,416.5","1,428.88","1,413","-","0.64%"
"Sep 11, 2011","1,428.88","1,431.75","1,432.25","1,428.88","-","0.23%"
"Sep 12, 2011","1,400.75","1,429.88","1,431.88","1,388.63","-","-1.97%"
"Sep 13, 2011","1,392.5","1,400.63","1,401.63","1,382.13","-","-0.59%"
"Sep 14, 2011","1,385.5","1,392.38","1,396.63","1,377.38","-","-0.50%"
"Sep 15, 2011","1,359.88","1,385.38","1,386.88","1,357.63","-","-1.85%"
"Sep 16, 2011","1,357.38","1,360.38","1,368.63","1,350.38","-","-0.18%"
"Sep 18, 2011","1,354.5","1,357.38","1,357.38","1,352.25","-","-0.21%"
"Sep 19, 2011","1,343.38","1,354.13","1,355.5","1,326.38","-","-0.82%"
"Sep 20, 2011","1,335.75","1,343","1,350.13","1,331.75","-","-0.57%"
"Sep 21, 2011","1,315.88","1,336.13","1,345.13","1,313.13","-","-1.49%"
"Sep 22, 2011","1,284.38","1,315.75","1,316.88","1,281.13","-","-2.39%"
"Sep 23, 2011","1,258.13","1,282.63","1,288.25","1,250.13","-","-2.04%"
"Sep 25, 2011","1,261.38","1,265.38","1,267","1,261.38","-","0.26%"
"Sep 26, 2011","1,261.75","1,261.88","1,265.88","1,226.13","-","0.03%"
"Sep 27, 2011","1,255.63","1,262.25","1,277.63","1,255.38","-","-0.49%"
"Sep 28, 2011","1,214.13","1,255.75","1,259.63","1,213.88","-","-3.31%"
"Sep 29, 2011","1,231.38","1,214.75","1,237.88","1,209.38","-","1.42%"
"Sep 30, 2011","1,175.13","1,230.88","1,238.5","1,175.13","-","-4.57%"
"Oct 02, 2011","1,175.38","1,176.38","1,181.25","1,174.38","-","0.02%"
"Oct 03, 2011","1,170.88","1,175.5","1,189.63","1,162.13","-","-0.38%"
"Oct 04, 2011","1,166.5","1,170.63","1,178.63","1,152.25","-","-0.37%"
"Oct 05, 2011","1,164.63","1,167.25","1,173.88","1,161.13","-","-0.16%"
"Oct 06, 2011","1,159.25","1,163.63","1,182.63","1,158.38","-","-0.46%"
"Oct 07, 2011","1,160.88","1,159.38","1,169.88","1,152.38","-","0.14%"
"Oct 09, 2011","1,165.88","1,159.5","1,166.13","1,158.63","-","0.43%"
"Oct 10, 2011","1,183.38","1,165.88","1,192.63","1,163.88","-","1.50%"
"Oct 11, 2011","1,233","1,181.75","1,245.13","1,174.63","-","4.19%"
"Oct 12, 2011","1,237.63","1,232.88","1,246.13","1,212.75","-","0.38%"
"Oct 13, 2011","1,259.38","1,237.75","1,259.38","1,230.88","-","1.76%"
"Oct 14, 2011","1,269.38","1,259.13","1,275.63","1,249.25","-","0.79%"
"Oct 16, 2011","1,263.88","1,269.13","1,271.13","1,263.88","-","-0.43%"
"Oct 17, 2011","1,246.63","1,264.13","1,271.75","1,246.63","-","-1.36%"
"Oct 18, 2011","1,250.75","1,247.25","1,252.88","1,226.63","-","0.33%"
"Oct 19, 2011","1,215.63","1,250.63","1,258.88","1,213.88","-","-2.81%"
"Oct 20, 2011","1,223.75","1,215.88","1,227.75","1,201.63","-","0.67%"
"Oct 21, 2011","1,212.38","1,223.63","1,245.25","1,212.38","-","-0.93%"
"Oct 23, 2011","1,221.88","1,220.13","1,221.88","1,217.88","-","0.78%"
"Oct 24, 2011","1,239.13","1,221.63","1,248.13","1,219.63","-","1.41%"
"Oct 25, 2011","1,230.75","1,238.5","1,244.63","1,225.63","-","-0.68%"
"Oct 26, 2011","1,224.63","1,231.25","1,241.75","1,218.63","-","-0.50%"
"Oct 27, 2011","1,245.88","1,224.5","1,252.13","1,223.75","-","1.74%"
"Oct 28, 2011","1,226.13","1,245.25","1,250.5","1,224.13","-","-1.59%"
"Oct 30, 2011","1,227.38","1,227.5","1,227.88","1,225.88","-","0.10%"
"Oct 31, 2011","1,214","1,227.25","1,229","1,203.63","-","-1.09%"
"Nov 01, 2011","1,198.63","1,214.88","1,222.88","1,190.75","-","-1.27%"
"Nov 02, 2011","1,204","1,198.5","1,218.25","1,198.13","-","0.45%"
"Nov 03, 2011","1,226.13","1,204.38","1,231.38","1,200.88","-","1.84%"
"Nov 04, 2011","1,220.38","1,226","1,230.88","1,219.13","-","-0.47%"
"Nov 07, 2011","1,202.5","1,220.63","1,222.88","1,198.5","-","-1.46%"
"Nov 08, 2011","1,205.5","1,203.63","1,217.13","1,199.88","-","0.25%"
"Nov 09, 2011","1,186.13","1,205.88","1,211.88","1,183.75","-","-1.61%"
"Nov 10, 2011","1,169.5","1,184","1,191.13","1,167","-","-1.40%"
"Nov 11, 2011","1,176.13","1,168.25","1,181","1,168.25","-","0.57%"
"Nov 14, 2011","1,179.25","1,178.25","1,192.88","1,177.13","-","0.27%"
"Nov 15, 2011","1,199.63","1,179.38","1,206.13","1,178.5","-","1.73%"
"Nov 16, 2011","1,188.13","1,199.63","1,203.13","1,182.88","-","-0.96%"
"Nov 17, 2011","1,169.63","1,186.5","1,192.13","1,162.13","-","-1.56%"
"Nov 18, 2011","1,171.38","1,170.25","1,177.38","1,152.88","-","0.15%"
"Nov 21, 2011","1,145.63","1,171.88","1,174.13","1,145.13","-","-2.20%"
"Nov 22, 2011","1,151.88","1,147.63","1,155.63","1,141.13","-","0.55%"
"Nov 23, 2011","1,123.13","1,155.75","1,158.25","1,121.13","-","-2.50%"
"Nov 25, 2011","1,108.88","1,120.38","1,125.38","1,102.88","-","-1.27%"
"Nov 28, 2011","1,123.38","1,114.25","1,127.13","1,114.25","-","1.31%"
"Nov 29, 2011","1,125.63","1,124.13","1,138.13","1,115.13","-","0.20%"
"Nov 30, 2011","1,133.38","1,123.38","1,145.5","1,111.63","-","0.69%"
"Dec 01, 2011","1,128.25","1,133.63","1,142.88","1,116.38","-","-0.45%"
"Dec 02, 2011","1,136.38","1,131.63","1,144.38","1,128.38","-","0.72%"
"Dec 05, 2011","1,126","1,139.88","1,148.13","1,122.13","-","-0.91%"
"Dec 06, 2011","1,128.38","1,125.75","1,131.88","1,120.38","-","0.21%"
"Dec 07, 2011","1,131.75","1,130.25","1,136.88","1,124","-","0.30%"
"Dec 08, 2011","1,132.13","1,131.75","1,136.38","1,121.38","-","0.03%"
"Dec 09, 2011","1,106.38","1,131.25","1,133.38","1,100.38","-","-2.27%"
"Dec 11, 2011","1,105.63","1,105.63","1,105.63","1,105.63","-","-0.07%"
"Dec 12, 2011","1,111.75","1,107.88","1,114.88","1,095.13","-","0.55%"
"Dec 13, 2011","1,118.13","1,111.63","1,126.88","1,106.38","-","0.57%"
"Dec 14, 2011","1,103.88","1,115.63","1,119.38","1,094.63","-","-1.27%"
"Dec 15, 2011","1,113.88","1,100.88","1,113.88","1,100.88","-","0.91%"
"Dec 16, 2011","1,130.38","1,112.38","1,130.38","1,111.63","-","1.48%"
"Dec 19, 2011","1,139.13","1,137.38","1,148.63","1,131.75","-","0.77%"
"Dec 20, 2011","1,144.63","1,136.5","1,149.63","1,136.13","-","0.48%"
"Dec 21, 2011","1,153.13","1,144.63","1,158.88","1,132.5","-","0.74%"
"Dec 22, 2011","1,160.88","1,152.25","1,167.88","1,144.38","-","0.67%"
